151,150,file_name,1028,60,63,64,65,112,142,52,100,9818,48,49,44,40,41,1,541,6,9,8,75,200,115,9509,205,207,9524,9525,9506,20,9843,76,108,127,128,129,442,167,58,11,10,39,38,15,14,17,98,55,32,57,56,37,50,35,34,9515,59,116,9513,54,111,31,110
,,DR/input_log_file.txt,,,,,,,,20190502-04:06:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,793,,244,,,,,,,,,,BLPTB,,,0,792,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:07:20.429,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,SEBWHITE,,,0,793,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:07:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,794,,244,,,,,,,,,,BLPTB,,,0,793,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:07:50.431,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,SEBWHITE,,,0,794,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:07:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,795,,249,,,,,,,,,,BLPTB,,,0,794,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:08:20.433,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,SEBWHITE,,,0,795,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:08:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,796,,249,,,,,,,,,,BLPTB,,,0,795,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:08:50.435,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,SEBWHITE,,,0,796,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:08:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,797,,254,,,,,,,,,,BLPTB,,,0,796,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:09:20.437,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,SEBWHITE,,,0,797,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:09:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,798,,254,,,,,,,,,,BLPTB,,,0,797,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:09:50.439,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,SEBWHITE,,,0,798,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:09:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,799,,3,,,,,,,,,,BLPTB,,,0,798,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:10:20.441,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,SEBWHITE,,,0,799,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:10:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,800,,232,,,,,,,,,,BLPTB,,,0,799,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:10:50.443,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,SEBWHITE,,,0,800,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:10:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,801,,219,,,,,,,,,,BLPTB,,,0,800,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:11:20.445,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,SEBWHITE,,,0,801,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:11:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,802,,219,,,,,,,,,,BLPTB,,,0,801,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:11:50.447,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,SEBWHITE,,,0,802,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:11:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,803,,224,,,,,,,,,,BLPTB,,,0,802,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:12:20.448,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,SEBWHITE,,,0,803,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:12:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,804,,224,,,,,,,,,,BLPTB,,,0,803,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:12:50.450,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,SEBWHITE,,,0,804,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:12:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,805,,229,,,,,,,,,,BLPTB,,,0,804,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:13:20.452,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,SEBWHITE,,,0,805,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:13:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,806,,229,,,,,,,,,,BLPTB,,,0,805,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:13:50.453,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,SEBWHITE,,,0,806,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:13:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,807,,234,,,,,,,,,,BLPTB,,,0,806,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:14:20.455,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,SEBWHITE,,,0,807,,,,,,,,
